,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ,Activity
159,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.107331389,3,0.145276578,-0.114246286,0.292301029,0.8569386,0.02435716,0.058711346,0.87355274,-0.1100433,0.282108068,0.944561958,-0.2903776,0.004550159,1.01233506,-0.231187537,-0.05233468,1.01871252,-0.102066442,0.20317927,0.9482281,-0.170964837,0.216954947,0.929727852,-0.059744794,0.1444599,0.946000159,-0.265112966,-0.024488129,1.03288364,-0.182233989,0.09118976,0.99343735,-0.121714242,0.175621927,0.9604651,-0.137416109,0.160798773,0.8902402,-0.109686963,0.06383992,0.8976996,-0.182233989,0.09118976,0.99343735,Approaching
160,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.107331389,3,0.145276578,-0.114246286,0.292301029,0.8569386,0.02435716,0.058711346,0.87355274,-0.1100433,0.282108068,0.944561958,-0.2903776,0.004550159,1.01233506,-0.231187537,-0.05233468,1.01871252,-0.102066442,0.20317927,0.9482281,-0.170964837,0.216954947,0.929727852,-0.059744794,0.1444599,0.946000159,-0.265112966,-0.024488129,1.03288364,-0.182233989,0.09118976,0.99343735,-0.121714242,0.175621927,0.9604651,-0.137416109,0.160798773,0.8902402,-0.109686963,0.06383992,0.8976996,-0.182233989,0.09118976,0.99343735,Approaching
161,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.118449051,3,0.144703901,-0.114405453,0.292397857,0.8571833,0.024353195,0.05877282,0.8736176,-0.110613585,0.28240785,0.944941163,-0.290756941,0.005364969,1.012388,-0.231639192,-0.051603567,1.01942337,-0.102014892,0.203508288,0.9483282,-0.170964316,0.216962785,0.9298449,-0.05974534,0.144517362,0.946052,-0.265544116,-0.023677673,1.03323066,-0.182489634,0.09178972,0.9937105,-0.1217487,0.176041573,0.96062696,-0.137693778,0.160875425,0.890829265,-0.109803818,0.063773945,0.897922754,-0.182489634,0.09178972,0.9937105,Approaching
162,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.118449051,3,0.144703901,-0.114405453,0.292397857,0.8571833,0.024353195,0.05877282,0.8736176,-0.110613585,0.28240785,0.944941163,-0.290756941,0.005364969,1.012388,-0.231639192,-0.051603567,1.01942337,-0.102014892,0.203508288,0.9483282,-0.170964316,0.216962785,0.9298449,-0.05974534,0.144517362,0.946052,-0.265544116,-0.023677673,1.03323066,-0.182489634,0.09178972,0.9937105,-0.1217487,0.176041573,0.96062696,-0.137693778,0.160875425,0.890829265,-0.109803818,0.063773945,0.897922754,-0.182489634,0.09178972,0.9937105,Approaching
163,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.126628909,3,0.143768818,-0.114749596,0.2925058,0.8572975,0.02436106,0.058820456,0.8736884,-0.111028507,0.2826672,0.945229053,-0.290954828,0.006057709,1.01237226,-0.231909245,-0.05098849,1.01988935,-0.101927333,0.203840673,0.9484652,-0.170984223,0.2169799,0.9300053,-0.059734114,0.144561052,0.9461107,-0.265788,-0.022996668,1.03343213,-0.18263492,0.09231808,0.9939282,-0.12173447,0.176443815,0.9608054,-0.137914225,0.160912678,0.891242564,-0.1099115,0.06367001,0.898111165,-0.18263492,0.09231808,0.9939282,Approaching
164,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.126628909,3,0.143768818,-0.114749596,0.2925058,0.8572975,0.02436106,0.058820456,0.8736884,-0.111028507,0.2826672,0.945229053,-0.290954828,0.006057709,1.01237226,-0.231909245,-0.05098849,1.01988935,-0.101927333,0.203840673,0.9484652,-0.170984223,0.2169799,0.9300053,-0.059734114,0.144561052,0.9461107,-0.265788,-0.022996668,1.03343213,-0.18263492,0.09231808,0.9939282,-0.12173447,0.176443815,0.9608054,-0.137914225,0.160912678,0.891242564,-0.1099115,0.06367001,0.898111165,-0.18263492,0.09231808,0.9939282,Approaching
165,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.132663776,3,0.143387439,-0.11495547,0.292595,0.8574153,0.024354331,0.05883438,0.873717368,-0.1111742,0.2828027,0.945439339,-0.291121274,0.006514397,1.01231313,-0.232129246,-0.05058414,1.02018547,-0.101902425,0.204017133,0.9485124,-0.170987,0.216972142,0.930066049,-0.05973783,0.144571111,0.946128,-0.265986651,-0.022548042,1.033528,-0.1827722,0.09264736,0.994033,-0.121759795,0.176672533,0.960880458,-0.138082728,0.160934627,0.891593635,-0.10989666,0.063632436,0.89878875,-0.1827722,0.09264736,0.994033,Approaching
166,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.132663776,3,0.143387439,-0.11495547,0.292595,0.8574153,0.024354331,0.05883438,0.873717368,-0.1111742,0.2828027,0.945439339,-0.291121274,0.006514397,1.01231313,-0.232129246,-0.05058414,1.02018547,-0.101902425,0.204017133,0.9485124,-0.170987,0.216972142,0.930066049,-0.05973783,0.144571111,0.946128,-0.265986651,-0.022548042,1.033528,-0.1827722,0.09264736,0.994033,-0.121759795,0.176672533,0.960880458,-0.138082728,0.160934627,0.891593635,-0.10989666,0.063632436,0.89878875,-0.1827722,0.09264736,0.994033,Approaching
167,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.138518627,3,0.143169728,-0.116904259,0.278933138,0.862728834,0.024355533,0.058830183,0.8737619,-0.111264467,0.282678545,0.9456751,-0.2911681,0.006872504,1.0123415,-0.232321665,-0.05012299,1.02054536,-0.101869725,0.204086676,0.9485609,-0.1710001,0.21697,0.9301216,-0.059733644,0.144563019,0.9461613,-0.2661067,-0.022112938,1.03369367,-0.182849139,0.09288291,0.9941625,-0.121758886,0.176785946,0.960958362,-0.1402333,0.147831738,0.8963337,-0.109336041,0.06344983,0.89882946,-0.182849139,0.09288291,0.9941625,Approaching
168,no,no,no,no,no,no,no,-5,no,-5,0,-5,0.138518627,3,0.143169728,-0.116904259,0.278933138,0.862728834,0.024355533,0.058830183,0.8737619,-0.111264467,0.282678545,0.9456751,-0.2911681,0.006872504,1.0123415,-0.232321665,-0.05012299,1.02054536,-0.101869725,0.204086676,0.9485609,-0.1710001,0.21697,0.9301216,-0.059733644,0.144563019,0.9461613,-0.2661067,-0.022112938,1.03369367,-0.182849139,0.09288291,0.9941625,-0.121758886,0.176785946,0.960958362,-0.1402333,0.147831738,0.8963337,-0.109336041,0.06344983,0.89882946,-0.182849139,0.09288291,0.9941625,Approaching
