,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
10,0,0,0,0,1,0,0,10,0,15,30,-0.3785128909324169,1,-0.48078664833067314,0.119882256,0.151003525,1.99517727,0.513605535,0.204413578,1.78750181,0.240491733,0.667537749,1.91948009,0.244484261,-0.0485367253,1.85980737,0.375546634,-0.0308488421,1.80768526,0.303369164,0.5441196,1.92778254,0.142557949,0.4003801,1.98281121,0.433574855,0.425930768,1.83101356,0.31596002,-0.040436767,1.86869931,0.3105073,0.257994443,1.90421736,0.305450231,0.47421062,1.92396426,0.0543894954,-0.04571792,1.88790357,0.488335282,-0.0188946072,1.61450815,0.3105073,0.257994443,1.90421736
11,0,0,0,0,1,0,0,-30,0,-15,35,-0.020467255651222677,3,-0.11240926613450977,-0.838486,0.05067999,1.4055258,-0.457672626,0.06709316,1.30509126,-0.6794037,0.359870523,1.19129026,-0.758019149,0.0543113872,1.52819932,-0.622516155,0.0360013433,1.52542555,-0.6493357,0.288869321,1.2638123,-0.823891342,0.216177881,1.34399641,-0.5358917,0.250861257,1.31148553,-0.699601054,0.0461127944,1.5479219,-0.677422762,0.170020938,1.41059864,-0.656890631,0.260095537,1.30214274,-0.828638434,-0.109964095,1.42557287,-0.514603853,-0.07938827,1.20798564,-0.677422762,0.170020938,1.41059864
12,0,0,0,0,1,0,0,10,0,15,30,-0.3785128909324169,1,-0.48078664833067314,0.119882256,0.151003525,1.99517727,0.513605535,0.204413578,1.78750181,0.240491733,0.667537749,1.91948009,0.244484261,-0.0485367253,1.85980737,0.375546634,-0.0308488421,1.80768526,0.303369164,0.5441196,1.92778254,0.142557949,0.4003801,1.98281121,0.433574855,0.425930768,1.83101356,0.31596002,-0.040436767,1.86869931,0.3105073,0.257994443,1.90421736,0.305450231,0.47421062,1.92396426,0.0543894954,-0.04571792,1.88790357,0.488335282,-0.0188946072,1.61450815,0.3105073,0.257994443,1.90421736
13,0,0,0,0,1,0,0,-30,0,-15,35,-0.020467255651222677,3,-0.11240926613450977,-0.838486,0.05067999,1.4055258,-0.457672626,0.06709316,1.30509126,-0.6794037,0.359870523,1.19129026,-0.758019149,0.0543113872,1.52819932,-0.622516155,0.0360013433,1.52542555,-0.6493357,0.288869321,1.2638123,-0.823891342,0.216177881,1.34399641,-0.5358917,0.250861257,1.31148553,-0.699601054,0.0461127944,1.5479219,-0.677422762,0.170020938,1.41059864,-0.656890631,0.260095537,1.30214274,-0.828638434,-0.109964095,1.42557287,-0.514603853,-0.07938827,1.20798564,-0.677422762,0.170020938,1.41059864
14,0,0,0,0,1,0,0,15,0,15,35,-0.378234561832402,1,-0.4802793911369179,0.119579814,0.151025817,1.99511087,0.513375461,0.204153672,1.78761721,0.240125641,0.667447031,1.91971636,0.244235516,-0.0485649966,1.85987151,0.3753472,-0.0308126435,1.807772,0.3032533,0.5441246,1.92782485,0.142260313,0.40035978,1.98277092,0.4333964,0.425981373,1.83109891,0.315727055,-0.04043246,1.86877608,0.310329676,0.258000076,1.90427923,0.30531913,0.474215955,1.92401171,0.05419407,-0.04582476,1.8876884,0.488027722,-0.0191912148,1.614687,0.310329676,0.258000076,1.90427923
15,0,0,0,0,1,0,0,-30,0,-10,35,0.010403987438524725,3,-0.1045586346227439,-0.8387823,0.0535175242,1.40324175,-0.5117566,0.0822807848,1.25956285,-0.680028439,0.359164,1.19058979,-0.760830343,0.0418534353,1.52064085,-0.6285177,0.0241687149,1.52201748,-0.650523,0.2883249,1.2632494,-0.8235551,0.213984653,1.34170949,-0.536751032,0.250645936,1.31161189,-0.7041862,0.03366244,1.54234743,-0.6798395,0.165190235,1.40770733,-0.6584273,0.258782774,1.30108309,-0.824951053,-0.102940738,1.4402498,-0.554120362,-0.0625643954,1.16519475,-0.6798395,0.165190235,1.40770733
16,0,0,0,0,1,0,0,15,0,15,35,-0.378234561832402,1,-0.4802793911369179,0.119579814,0.151025817,1.99511087,0.513375461,0.204153672,1.78761721,0.240125641,0.667447031,1.91971636,0.244235516,-0.0485649966,1.85987151,0.3753472,-0.0308126435,1.807772,0.3032533,0.5441246,1.92782485,0.142260313,0.40035978,1.98277092,0.4333964,0.425981373,1.83109891,0.315727055,-0.04043246,1.86877608,0.310329676,0.258000076,1.90427923,0.30531913,0.474215955,1.92401171,0.05419407,-0.04582476,1.8876884,0.488027722,-0.0191912148,1.614687,0.310329676,0.258000076,1.90427923
17,0,0,0,0,1,0,0,-30,0,-10,35,0.010403987438524725,3,-0.1045586346227439,-0.8387823,0.0535175242,1.40324175,-0.5117566,0.0822807848,1.25956285,-0.680028439,0.359164,1.19058979,-0.760830343,0.0418534353,1.52064085,-0.6285177,0.0241687149,1.52201748,-0.650523,0.2883249,1.2632494,-0.8235551,0.213984653,1.34170949,-0.536751032,0.250645936,1.31161189,-0.7041862,0.03366244,1.54234743,-0.6798395,0.165190235,1.40770733,-0.6584273,0.258782774,1.30108309,-0.824951053,-0.102940738,1.4402498,-0.554120362,-0.0625643954,1.16519475,-0.6798395,0.165190235,1.40770733
18,0,0,0,0,1,0,0,10,0,15,35,-0.37783903073968583,1,-0.47942049988168534,0.119318992,0.151053548,1.99512494,0.513104,0.203829885,1.78764212,0.239959568,0.6673975,1.919737,0.2439551,-0.0485772379,1.85990167,0.37513876,-0.03079742,1.80783367,0.303166151,0.54415077,1.92786062,0.1419308,0.40031895,1.98264909,0.433354616,0.425953835,1.83114529,0.315472752,-0.0404311121,1.868824,0.3101646,0.2580188,1.904324,0.305214345,0.474241078,1.92405009,0.0540743247,-0.0459450744,1.88759184,0.48767665,-0.0197437238,1.61503208,0.3101646,0.2580188,1.904324
19,0,0,0,0,1,0,0,-30,0,-10,35,0.0352023144078319,3,-0.10077721967948688,-0.8387502,0.0539803542,1.4027338,-0.458840758,0.0757288039,1.33304965,-0.680323243,0.3589517,1.19027448,-0.758056462,0.0299208984,1.51290667,-0.628566444,0.0135006141,1.5174669,-0.651263833,0.287934661,1.26283133,-0.82309407,0.211635768,1.34059155,-0.537179768,0.2507034,1.31168,-0.702934861,0.0221133381,1.53617966,-0.6802218,0.160014451,1.40454149,-0.659260631,0.2575968,1.300151,-0.8103815,-0.0918760747,1.46509087,-0.503650546,-0.08272849,1.295031,-0.6802218,0.160014451,1.40454149
