,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_size,face_yaw,hip_rot,index,shoulder_rot,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
788,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-20,0.0,-50,0.04565258401478912,1,-0.35569284292810704,-0.277560323,0.0629474744,1.01651835,-0.158988431,0.107742079,0.9897822,-0.0057824254,0.27299428,0.9935972,-0.06567015,-0.124028951,1.15350342,0.0258471984,-0.127631634,1.15768433,-0.05981436,0.184971735,0.990381241,-0.128347322,0.170114428,1.03189087,0.0369716324,0.184562832,0.970476,-0.0207472015,-0.128737628,1.18099058,-0.03312632,0.0259631518,1.0846076,-0.05178377,0.1458382,1.01469219,-0.3942746,-0.09559559,1.07526553,0.0179364588,0.006390578,1.03664982,-0.03312632,0.0259631518,1.0846076
789,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-15,0.0,-50,0.037480371526189875,1,-0.37043793507510886,-0.280142128,0.0613737777,1.01915646,-0.158812523,0.108734675,0.9904953,-0.0106459567,0.277192771,0.998607039,-0.06426693,-0.123654589,1.15609717,0.0266105272,-0.126999363,1.15950489,-0.0589350238,0.183963418,0.9899458,-0.127083734,0.1703196,1.03325391,0.03831354,0.181375951,0.969019055,-0.0195582062,-0.128164262,1.18320465,-0.03360869,0.0265916828,1.08652055,-0.0516360365,0.1455599,1.0147934,-0.397168219,-0.09727535,1.07703185,0.01735375,0.00653519342,1.03819191,-0.03360869,0.0265916828,1.08652055
790,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-15,0.0,-50,0.037480371526189875,1,-0.37043793507510886,-0.280142128,0.0613737777,1.01915646,-0.158812523,0.108734675,0.9904953,-0.0106459567,0.277192771,0.998607039,-0.06426693,-0.123654589,1.15609717,0.0266105272,-0.126999363,1.15950489,-0.0589350238,0.183963418,0.9899458,-0.127083734,0.1703196,1.03325391,0.03831354,0.181375951,0.969019055,-0.0195582062,-0.128164262,1.18320465,-0.03360869,0.0265916828,1.08652055,-0.0516360365,0.1455599,1.0147934,-0.397168219,-0.09727535,1.07703185,0.01735375,0.00653519342,1.03819191,-0.03360869,0.0265916828,1.08652055
791,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-20,0.0,-50,0.040115607540507844,1,-0.3700915810151896,-0.2794484,0.0611720569,1.02080548,-0.159440875,0.109750971,0.9920731,-0.016326718,0.2807524,1.004816,-0.06340254,-0.123772554,1.15674984,0.0277601536,-0.126275077,1.16040885,-0.06081054,0.184172213,0.99178,-0.126657456,0.170403615,1.03481042,0.0378405936,0.182106659,0.97099036,-0.01849152,-0.1278814,1.18397,-0.03561684,0.02814185,1.08969021,-0.0540795177,0.146111429,1.01740491,-0.3981157,-0.0967871249,1.07736874,0.0156967584,0.0061177914,1.04034865,-0.03561684,0.02814185,1.08969021
792,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-20,0.0,-50,0.040115607540507844,1,-0.3700915810151896,-0.2794484,0.0611720569,1.02080548,-0.159440875,0.109750971,0.9920731,-0.016326718,0.2807524,1.004816,-0.06340254,-0.123772554,1.15674984,0.0277601536,-0.126275077,1.16040885,-0.06081054,0.184172213,0.99178,-0.126657456,0.170403615,1.03481042,0.0378405936,0.182106659,0.97099036,-0.01849152,-0.1278814,1.18397,-0.03561684,0.02814185,1.08969021,-0.0540795177,0.146111429,1.01740491,-0.3981157,-0.0967871249,1.07736874,0.0156967584,0.0061177914,1.04034865,-0.03561684,0.02814185,1.08969021
793,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-15,0.0,-50,0.04553236892593593,1,-0.35467982539298437,-0.281629831,0.0603114627,1.02344191,-0.163761288,0.105695009,1.00507212,-0.0224346351,0.280780852,1.00992954,-0.0629382,-0.123602815,1.15693319,0.0288812835,-0.1242506,1.16111684,-0.07539821,0.188179955,1.00447834,-0.144550547,0.1711637,1.04516625,0.0258525424,0.195587814,0.982059,-0.0176691227,-0.126983732,1.18436885,-0.0415902138,0.03201502,1.09584618,-0.06687862,0.150283754,1.028787,-0.3978614,-0.09720376,1.07768667,0.0140074817,0.00326737249,1.04700315,-0.0415902138,0.03201502,1.09584618
794,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-15,0.0,-50,0.04553236892593593,1,-0.35467982539298437,-0.281629831,0.0603114627,1.02344191,-0.163761288,0.105695009,1.00507212,-0.0224346351,0.280780852,1.00992954,-0.0629382,-0.123602815,1.15693319,0.0288812835,-0.1242506,1.16111684,-0.07539821,0.188179955,1.00447834,-0.144550547,0.1711637,1.04516625,0.0258525424,0.195587814,0.982059,-0.0176691227,-0.126983732,1.18436885,-0.0415902138,0.03201502,1.09584618,-0.06687862,0.150283754,1.028787,-0.3978614,-0.09720376,1.07768667,0.0140074817,0.00326737249,1.04700315,-0.0415902138,0.03201502,1.09584618
795,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,-20,0.0,-50,0.04923809447287959,1,-0.34448485748926233,-0.282719284,0.0600161329,1.02577627,-0.0509716757,0.07139995,1.03185058,-0.02800837,0.2834629,1.015602,-0.0629117042,-0.123588666,1.15699112,0.0290004015,-0.123291351,1.16152036,-0.08210191,0.190461665,1.01072884,-0.149252981,0.170686,1.04771447,0.02213346,0.199242264,0.986222565,-0.0175727326,-0.12662524,1.18457389,-0.0463391766,0.0342703648,1.10008335,-0.0733099356,0.152529642,1.03464711,-0.397210658,-0.09668516,1.07784474,0.109857127,-0.0482312,1.08601773,-0.0463391766,0.0342703648,1.10008335
796,no,unknown,unknown,unknown,yes,unknown,unknown,20,unknown,-20,0.0,-50,0.04923809447287959,1,-0.34448485748926233,-0.282719284,0.0600161329,1.02577627,-0.0509716757,0.07139995,1.03185058,-0.02800837,0.2834629,1.015602,-0.0629117042,-0.123588666,1.15699112,0.0290004015,-0.123291351,1.16152036,-0.08210191,0.190461665,1.01072884,-0.149252981,0.170686,1.04771447,0.02213346,0.199242264,0.986222565,-0.0175727326,-0.12662524,1.18457389,-0.0463391766,0.0342703648,1.10008335,-0.0733099356,0.152529642,1.03464711,-0.397210658,-0.09668516,1.07784474,0.109857127,-0.0482312,1.08601773,-0.0463391766,0.0342703648,1.10008335
797,no,unknown,unknown,unknown,yes,unknown,unknown,15,unknown,-10,0.0,-50,0.05091859385547399,1,-0.33874557634869346,-0.2839985,0.05928117,1.02845716,-0.05396147,0.07157127,1.03471279,-0.03255186,0.285640866,1.02025688,-0.06395859,-0.123910278,1.15685022,0.0278670955,-0.12301071,1.1615299,-0.0863145143,0.191922337,1.01473117,-0.1546719,0.170954421,1.05178738,0.0180100668,0.200895056,0.990947,-0.0185745358,-0.126583174,1.18452215,-0.050866738,0.0352191478,1.10261321,-0.07767072,0.15381211,1.03828442,-0.396581978,-0.09600912,1.0779897,0.10851302,-0.04620845,1.08820188,-0.050866738,0.0352191478,1.10261321
