,face_engaged,face_glasses,face_happy,face_lefteyeclosed,face_lookingaway,face_mouthmoved,face_mouthopen,face_pitch,face_righteyeclosed,face_roll,face_yaw,hip_rot,index,shoulder_rot,timeStamp,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,HeadX,HeadY,HeadZ,HipLeftX,HipLeftY,HipLeftZ,HipRightX,HipRightY,HipRightZ,NeckX,NeckY,NeckZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,WristLeftX,WristLeftY,WristLeftZ,WristRightX,WristRightY,WristRightZ,pedes_posX,pedes_posY,pedes_posZ
220,0,0,0,0,1,0,0,15,0,20,25,-0.6012879646027748,1,0.08614970517173347,02:01:09,0.7496859,0.256727576,1.47620916,0.8166128,0.215419725,1.49986815,0.7084254,0.6784165,1.81890821,0.761099339,-0.208753526,1.7558037,0.898050547,-0.168274045,1.66185117,0.7595791,0.5555581,1.777546,0.6933733,0.422534853,1.61637425,0.7736459,0.427139938,1.62330687,0.8476007,-0.19273895,1.74571729,0.806617141,0.1907778,1.76885843,0.772216737,0.466634482,1.77755511,0.7743094,0.215854153,1.74294329,0.6861941,-0.0363527462,1.46608174,0.806617141,0.1907778,1.76885843
221,0,0,0,0,1,0,0,15,0,20,25,-0.6012879646027748,1,0.08614970517173347,02:01:09,0.7496859,0.256727576,1.47620916,0.8166128,0.215419725,1.49986815,0.7084254,0.6784165,1.81890821,0.761099339,-0.208753526,1.7558037,0.898050547,-0.168274045,1.66185117,0.7595791,0.5555581,1.777546,0.6933733,0.422534853,1.61637425,0.7736459,0.427139938,1.62330687,0.8476007,-0.19273895,1.74571729,0.806617141,0.1907778,1.76885843,0.772216737,0.466634482,1.77755511,0.7743094,0.215854153,1.74294329,0.6861941,-0.0363527462,1.46608174,0.806617141,0.1907778,1.76885843
222,0,1,0,1,1,1,0,15,0,15,25,-0.5709962158392046,1,0.08398147386461113,02:01:09,0.7558001,0.255294174,1.44938219,0.830747962,0.21936515,1.48171043,0.714992166,0.6758407,1.7827611,0.768048763,-0.205551893,1.73140323,0.905434847,-0.168197513,1.64314985,0.7658001,0.5542379,1.75066221,0.699603,0.42118448,1.5895015,0.7865946,0.427342683,1.59682441,0.8549905,-0.191096008,1.72416747,0.812991858,0.190419257,1.74535632,0.7784079,0.465588421,1.75180268,0.7802548,0.21439153,1.71622252,0.7062336,-0.03218015,1.44921,0.812991858,0.190419257,1.74535632
223,0,1,0,1,1,1,0,15,0,15,25,-0.5709962158392046,1,0.08398147386461113,02:01:09,0.7558001,0.255294174,1.44938219,0.830747962,0.21936515,1.48171043,0.714992166,0.6758407,1.7827611,0.768048763,-0.205551893,1.73140323,0.905434847,-0.168197513,1.64314985,0.7658001,0.5542379,1.75066221,0.699603,0.42118448,1.5895015,0.7865946,0.427342683,1.59682441,0.8549905,-0.191096008,1.72416747,0.812991858,0.190419257,1.74535632,0.7784079,0.465588421,1.75180268,0.7802548,0.21439153,1.71622252,0.7062336,-0.03218015,1.44921,0.812991858,0.190419257,1.74535632
224,0,1,0,0,1,1,0,15,0,15,25,-1.207999292452751,1,-1.2631865451133295,02:01:09,0.7870807,0.2097031,1.64756262,0.84802866,0.22133714,1.4599098,0.7115863,0.6659141,1.74855626,0.807512641,-0.187699422,1.68762541,0.8476321,-0.15093936,1.58193648,0.7738101,0.553631544,1.71643651,0.730823159,0.374477625,1.78802371,0.799733758,0.429766625,1.571115,0.8460111,-0.1731201,1.67132056,0.81330806,0.1983856,1.70022476,0.7847045,0.466905,1.71508467,0.812099338,0.169570252,1.9139322,0.7345489,-0.0169632081,1.42707908,0.81330806,0.1983856,1.70022476
225,0,1,0,0,1,1,0,15,0,15,25,-1.207999292452751,1,-1.2631865451133295,02:01:09,0.7870807,0.2097031,1.64756262,0.84802866,0.22133714,1.4599098,0.7115863,0.6659141,1.74855626,0.807512641,-0.187699422,1.68762541,0.8476321,-0.15093936,1.58193648,0.7738101,0.553631544,1.71643651,0.730823159,0.374477625,1.78802371,0.799733758,0.429766625,1.571115,0.8460111,-0.1731201,1.67132056,0.81330806,0.1983856,1.70022476,0.7847045,0.466905,1.71508467,0.812099338,0.169570252,1.9139322,0.7345489,-0.0169632081,1.42707908,0.81330806,0.1983856,1.70022476
226,0,0,0,0,1,0,0,10,0,15,30,-1.1989533863908572,1,-1.2377505588418831,02:01:09,0.787567556,0.208480075,1.63901818,0.8630812,0.222504,1.44191313,0.725469,0.6689108,1.71464813,0.807187438,-0.185975939,1.68438113,0.849311352,-0.149538338,1.5763669,0.780288756,0.5518064,1.68798077,0.731332839,0.373271018,1.77947271,0.810856,0.430743575,1.54959154,0.8466145,-0.1715257,1.66706812,0.8156117,0.199329972,1.68789709,0.789907038,0.466126263,1.69081378,0.812548637,0.168347478,1.90540779,0.739772737,-0.0288684536,1.41351271,0.8156117,0.199329972,1.68789709
227,0,0,0,0,1,0,0,10,0,15,30,-1.1989533863908572,1,-1.2377505588418831,02:01:09,0.787567556,0.208480075,1.63901818,0.8630812,0.222504,1.44191313,0.725469,0.6689108,1.71464813,0.807187438,-0.185975939,1.68438113,0.849311352,-0.149538338,1.5763669,0.780288756,0.5518064,1.68798077,0.731332839,0.373271018,1.77947271,0.810856,0.430743575,1.54959154,0.8466145,-0.1715257,1.66706812,0.8156117,0.199329972,1.68789709,0.789907038,0.466126263,1.69081378,0.812548637,0.168347478,1.90540779,0.739772737,-0.0288684536,1.41351271,0.8156117,0.199329972,1.68789709
228,0,1,0,1,1,1,0,5,0,10,20,-1.1618651962756577,1,-1.2035443447400438,02:01:09,0.79376024,0.243083015,1.60490763,0.873602,0.229920551,1.424852,0.7325182,0.6707507,1.68860447,0.8042998,-0.177247345,1.67464769,0.8493454,-0.146423057,1.57070291,0.788545251,0.55419445,1.66024184,0.7376093,0.408260047,1.74519885,0.8217214,0.433283329,1.52655852,0.8455251,-0.165850639,1.659443,0.8187214,0.203979537,1.6691227,0.796932757,0.469132632,1.66474843,0.81858784,0.2025935,1.87145257,0.781104863,-0.009946921,1.38543081,0.8187214,0.203979537,1.6691227
229,0,1,0,1,1,1,0,5,0,10,20,-1.1618651962756577,1,-1.2035443447400438,02:01:09,0.79376024,0.243083015,1.60490763,0.873602,0.229920551,1.424852,0.7325182,0.6707507,1.68860447,0.8042998,-0.177247345,1.67464769,0.8493454,-0.146423057,1.57070291,0.788545251,0.55419445,1.66024184,0.7376093,0.408260047,1.74519885,0.8217214,0.433283329,1.52655852,0.8455251,-0.165850639,1.659443,0.8187214,0.203979537,1.6691227,0.796932757,0.469132632,1.66474843,0.81858784,0.2025935,1.87145257,0.781104863,-0.009946921,1.38543081,0.8187214,0.203979537,1.6691227
